major,minor,name,tls_version,kex_algs,auth_alg,bulk_enc_alg,bulk_enc_alg_sec_len,mac_alg
0x00,0x04,RC4-MD5,SSLv3,RSA,RSA,RC4,128,MD5
0x00,0x05,RC4-SHA,SSLv3,RSA,RSA,RC4,128,SHA1
0x00,0x07,IDEA-CBC-SHA,SSLv3,RSA,RSA,IDEA,128,SHA1
0x00,0x09,DES-CBC-SHA,SSLv3,RSA,RSA,DES,56,SHA1
0x00,0x0A,DES-CBC3-SHA,SSLv3,RSA,RSA,3DES,168,SHA1
0x00,0x0C,DH-DSS-DES-CBC-SHA,SSLv3,DH/DSS,DH,DES,56,SHA1
0x00,0x0D,DH-DSS-DES-CBC3-SHA,SSLv3,DH/DSS,DH,3DES,168,SHA1
0x00,0x0F,DH-RSA-DES-CBC-SHA,SSLv3,DH/RSA,DH,DES,56,SHA1
0x00,0x10,DH-RSA-DES-CBC3-SHA,SSLv3,DH/RSA,DH,3DES,168,SHA1
0x00,0x12,EDH-DSS-DES-CBC-SHA,SSLv3,DH,DSS,DES,56,SHA1
0x00,0x13,EDH-DSS-DES-CBC3-SHA,SSLv3,DH,DSS,3DES,168,SHA1
0x00,0x15,EDH-RSA-DES-CBC-SHA,SSLv3,DH,RSA,DES,56,SHA1
0x00,0x16,EDH-RSA-DES-CBC3-SHA,SSLv3,DH,RSA,3DES,168,SHA1
0x00,0x2F,AES128-SHA,SSLv3,RSA,RSA,AES,128,SHA1
0x00,0x30,DH-DSS-AES128-SHA,SSLv3,DH/DSS,DH,AES,128,SHA1
0x00,0x31,DH-RSA-AES128-SHA,SSLv3,DH/RSA,DH,AES,128,SHA1
0x00,0x32,DHE-DSS-AES128-SHA,SSLv3,DH,DSS,AES,128,SHA1
0x00,0x33,DHE-RSA-AES128-SHA,SSLv3,DH,RSA,AES,128,SHA1
0x00,0x34,ADH-AES128-SHA,SSLv3,DH,None,AES,128,SHA1
0x00,0x35,AES256-SHA,SSLv3,RSA,RSA,AES,256,SHA1
0x00,0x36,DH-DSS-AES256-SHA,SSLv3,DH/DSS,DH,AES,256,SHA1
0x00,0x37,DH-RSA-AES256-SHA,SSLv3,DH/RSA,DH,AES,256,SHA1
0x00,0x38,DHE-DSS-AES256-SHA,SSLv3,DH,DSS,AES,256,SHA1
0x00,0x39,DHE-RSA-AES256-SHA,SSLv3,DH,RSA,AES,256,SHA1
0x00,0x3A,ADH-AES256-SHA,SSLv3,DH,None,AES,256,SHA1
0x00,0x3C,AES128-SHA256,TLSv1.2,RSA,RSA,AES,128,SHA256
0x00,0x3D,AES256-SHA256,TLSv1.2,RSA,RSA,AES,256,SHA256
0x00,0x3E,DH-DSS-AES128-SHA256,TLSv1.2,DH/DSS,DH,AES,128,SHA256
0x00,0x3F,DH-RSA-AES128-SHA256,TLSv1.2,DH/RSA,DH,AES,128,SHA256
0x00,0x40,DHE-DSS-AES128-SHA256,TLSv1.2,DH,DSS,AES,128,SHA256
0x00,0x41,CAMELLIA128-SHA,SSLv3,RSA,RSA,Camellia,128,SHA1
0x00,0x42,DH-DSS-CAMELLIA128-SHA,SSLv3,DH/DSS,DH,Camellia,128,SHA1
0x00,0x43,DH-RSA-CAMELLIA128-SHA,SSLv3,DH/RSA,DH,Camellia,128,SHA1
0x00,0x44,DHE-DSS-CAMELLIA128-SHA,SSLv3,DH,DSS,Camellia,128,SHA1
0x00,0x45,DHE-RSA-CAMELLIA128-SHA,SSLv3,DH,RSA,Camellia,128,SHA1
0x00,0x46,ADH-CAMELLIA128-SHA,SSLv3,DH,None,Camellia,128,SHA1
0x00,0x67,DHE-RSA-AES128-SHA256,TLSv1.2,DH,RSA,AES,128,SHA256
0x00,0x68,DH-DSS-AES256-SHA256,TLSv1.2,DH/DSS,DH,AES,256,SHA256
0x00,0x69,DH-RSA-AES256-SHA256,TLSv1.2,DH/RSA,DH,AES,256,SHA256
0x00,0x6A,DHE-DSS-AES256-SHA256,TLSv1.2,DH,DSS,AES,256,SHA256
0x00,0x6B,DHE-RSA-AES256-SHA256,TLSv1.2,DH,RSA,AES,256,SHA256
0x00,0x6C,ADH-AES128-SHA256,TLSv1.2,DH,None,AES,128,SHA256
0x00,0x6D,ADH-AES256-SHA256,TLSv1.2,DH,None,AES,256,SHA256
0x00,0x84,CAMELLIA256-SHA,SSLv3,RSA,RSA,Camellia,256,SHA1
0x00,0x85,DH-DSS-CAMELLIA256-SHA,SSLv3,DH/DSS,DH,Camellia,256,SHA1
0x00,0x86,DH-RSA-CAMELLIA256-SHA,SSLv3,DH/RSA,DH,Camellia,256,SHA1
0x00,0x87,DHE-DSS-CAMELLIA256-SHA,SSLv3,DH,DSS,Camellia,256,SHA1
0x00,0x88,DHE-RSA-CAMELLIA256-SHA,SSLv3,DH,RSA,Camellia,256,SHA1
0x00,0x89,ADH-CAMELLIA256-SHA,SSLv3,DH,None,Camellia,256,SHA1
0x00,0x8A,PSK-RC4-SHA,SSLv3,PSK,PSK,RC4,128,SHA1
0x00,0x8B,PSK-3DES-EDE-CBC-SHA,SSLv3,PSK,PSK,3DES,168,SHA1
0x00,0x8C,PSK-AES128-CBC-SHA,SSLv3,PSK,PSK,AES,128,SHA1
0x00,0x8D,PSK-AES256-CBC-SHA,SSLv3,PSK,PSK,AES,256,SHA1
0x00,0x90,DHE-PSK-AES128-CBC-SHA,SSLv3,DHEPSK,PSK,AES,128,SHA1
0x00,0x91,DHE-PSK-AES256-CBC-SHA,SSLv3,DHEPSK,PSK,AES,256,SHA1
0x00,0x94,RSA-PSK-AES128-CBC-SHA,SSLv3,RSAPSK,RSA,AES,128,SHA1
0x00,0x95,RSA-PSK-AES256-CBC-SHA,SSLv3,RSAPSK,RSA,AES,256,SHA1
0x00,0x96,SEED-SHA,SSLv3,RSA,RSA,SEED,128,SHA1
0x00,0x97,DH-DSS-SEED-SHA,SSLv3,DH/DSS,DH,SEED,128,SHA1
0x00,0x98,DH-RSA-SEED-SHA,SSLv3,DH/RSA,DH,SEED,128,SHA1
0x00,0x99,DHE-DSS-SEED-SHA,SSLv3,DH,DSS,SEED,128,SHA1
